F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 2.003, A = 0.565
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,0.5795999999999999,0.0001549193338482968
100,0.5793999999999999,0.0001549193338482968
200,0.5795999999999999,0.0001549193338482968
300,0.579,0.00014142135623730962
400,0.5786999999999999,0.0001449137674618945
500,0.5781,9.486832980505147e-05
600,0.5782999999999999,0.0001449137674618945
700,0.5776,0.0001549193338482968
800,0.5769,9.486832980505145e-05
900,0.5769,9.486832980505145e-05
1000,0.5766,0.0001549193338482968
1100,0.5754999999999999,0.0001581138830084191
1200,0.5756999999999999,0.0001449137674618945
1300,0.5751,9.486832980505147e-05
1400,0.5751999999999999,0.00012649110640673526
1500,0.5749,0.00017029386365926416
1600,0.5742,0.00012649110640673526
1700,0.5735999999999999,0.0001549193338482968
1800,0.5738,0.00012649110640673526
1900,0.5726000000000001,0.00015491933384829682
2000,0.572,0.0
2100,0.5719999999999998,0.00014142135623730962
2200,0.5715,0.0001581138830084191
2300,0.5710999999999999,9.486832980505147e-05
2400,0.5706,0.0001549193338482968
2500,0.5694,0.0001549193338482968
2600,0.5689,0.00022135943621178674
2700,0.5683999999999999,0.0001549193338482968
2800,0.5678999999999998,9.486832980505147e-05
2900,0.5678999999999998,9.486832980505147e-05
3000,0.5669000000000001,9.486832980505145e-05
3100,0.566,0.0
3200,0.5652999999999999,0.0001449137674618945
3300,0.5649,9.486832980505145e-05
3400,0.5642999999999999,0.0001449137674618945
3500,0.5639,9.486832980505145e-05
3600,0.5628,0.00018973665961008888
3700,0.5622999999999999,0.00024698178070455386
3800,0.5619000000000001,0.00017029386365925698
3900,0.5602,0.00012649110640673526
4000,0.561,0.0
4100,0.5602,0.00012649110640673526
4200,0.5598000000000001,0.0001897366596101029
4300,0.5582,0.00012649110640673526
4400,0.5575,0.0001581138830084191
4500,0.5571,9.486832980505147e-05
4600,0.5566000000000001,0.0001549193338482968
4700,0.5556000000000001,0.0001549193338482968
4800,0.5549999999999999,3.510833468576701e-17
4900,0.5539000000000001,0.00017029386365926416
5000,0.5531,9.486832980505147e-05
5100,0.5523,0.0001449137674618945
5200,0.5527,0.0001449137674618945
5300,0.5513,0.0001449137674618945
5400,0.5502,0.00012649110640673526
5500,0.5490000000000002,3.510833468576701e-17
5600,0.5485000000000001,0.0001581138830084191
5700,0.5476000000000001,0.0001549193338482968
5800,0.5471,9.486832980505147e-05
5900,0.5459999999999999,0.00024494897427831806
6000,0.5452000000000001,0.00012649110640673526
6100,0.5440000000000002,3.510833468576701e-17
6200,0.5439000000000002,9.486832980505145e-05
6300,0.5425000000000001,0.0001581138830084191
6400,0.5414,0.0001549193338482968
6500,0.5402000000000001,0.00012649110640673526
6600,0.5389999999999999,0.00014142135623730962
6700,0.538,0.0
6800,0.5374000000000001,0.0001549193338482968
6900,0.5363,0.0001449137674618945
7000,0.5357,0.0001449137674618945
7100,0.5347,0.00020248456731316604
7200,0.5338,0.00012649110640673526
7300,0.5324000000000001,0.0001549193338482968
7400,0.5316000000000001,0.0001549193338482968
7500,0.5305,0.0001581138830084191
7600,0.5299000000000001,9.486832980505145e-05
