F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.075, A = 2.299
deltaX = 100 steps.
Starting position: tip of probe is 3 cm below resting surface of magnetic coil.
0,2.2708999999999997,0.0002213594362117622
100,2.2729,9.486832980508306e-05
200,2.2742999999999993,0.00020248456731314355
300,2.2758000000000003,0.00023664319132400363
400,2.2771,9.486832980504093e-05
500,2.2783,0.0001449137674618784
600,2.2798000000000003,0.00012649110640672122
700,2.2814,0.0001549193338482796
800,2.2825,0.0002121320343559409
900,2.2838,0.00018973665961010994
1000,2.2847999999999997,0.00012649110640677738
1100,2.2857,0.00020248456731314355
1200,2.2875,0.00015811388300840154
1300,2.2889000000000004,0.00017029386365929219
1400,2.29,0.00019999999999997795
1500,2.2909300000000004,0.00021073680267099293
1600,2.2921,0.00017029386365929219
1700,2.2932,0.00012649110640672122
1800,2.2943,0.00024698178070454215
1900,2.2952999999999997,0.0001449137674618784
2000,2.2961,0.00017029386365929219
2100,2.2975000000000003,0.00015811388300840154
2200,2.2988,0.00023664319132395858
2300,2.3001000000000005,0.00022135943621181634
2400,2.3009999999999997,0.00020000000000002237
2500,2.3015,0.00021213203435594088
2600,2.3022,0.0001897366596100818
2700,2.3030999999999997,0.00026267851073124497
2800,2.3048,0.00012649110640677738
2900,2.305,0.00014142135623732534
3000,2.3063999999999996,0.0001549193338482796
3100,2.3068,0.00023664319132395858
3200,2.3078,0.00012649110640672122
3300,2.3084000000000002,0.00015491933384834838
3400,2.3091,9.486832980504093e-05
3500,2.3095,0.00015811388300840154
3600,2.3109,0.00026267851073124497
3700,2.3111000000000006,0.00017029386365924527
3800,2.3114000000000003,0.00020976176963400717
3900,2.3125,0.00015811388300847177
4000,2.3136,0.00015491933384827959
4100,2.3132,0.00018973665961010994
4200,2.3139000000000003,9.486832980504093e-05
4300,2.315,0.00014142135623729392
4400,2.3157,0.0002469817807045889
4500,2.3155,0.0002549509756796634
4600,2.3156,0.00015491933384827959
4700,2.3161,0.00026267851073130585
4800,2.3169,9.486832980508306e-05
4900,2.3169,0.00017029386365929219
5000,2.3167,0.00014491376746194278
5100,2.3172000000000006,0.00018973665961010994
5200,2.3175000000000003,0.00015811388300840154
5300,2.3178000000000005,0.00012649110640672122
5400,2.318,0.00024494897427829084
5500,2.3191,0.0002213594362117622
