F.W.BELL,MODEL 9550,V1.1;
, average for 14 data points
V = 2.003, A = 0.565
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,0.5781
100,0.5776999999999999
200,0.577
300,0.5767
400,0.5761
500,0.5766
600,0.5757
700,0.5751999999999999
800,0.575
900,0.575
1000,0.5743
1100,0.5739
1200,0.5736999999999999
1300,0.5732999999999999
1400,0.5729000000000001
1500,0.5725
1600,0.5718
1700,0.5710999999999999
1800,0.5709
1900,0.5704999999999999
2000,0.57
2100,0.5690999999999999
2200,0.5689
2300,0.5683999999999999
2400,0.5676999999999999
2500,0.567
2600,0.567
2700,0.5659
2800,0.5655999999999999
2900,0.5659
3000,0.5647
3100,0.5641999999999999
3200,0.5635999999999999
3300,0.5624
3400,0.5618000000000001
3500,0.5613000000000001
3600,0.5609
3700,0.5598000000000001
3800,0.5595000000000001
3900,0.5586
4000,0.5581000000000002
4100,0.5569000000000001
4200,0.5563
4300,0.5559000000000001
4400,0.5551
4500,0.5548
4600,0.5542999999999999
4700,0.5532000000000001
4800,0.5519999999999999
4900,0.5512
5000,0.5508000000000001
5100,0.5498000000000001
5200,0.5496000000000001
5300,0.5487000000000001
5400,0.5481000000000001
5500,0.5474
5600,0.546
5700,0.5453000000000001
5800,0.5447
5900,0.5435000000000001
6000,0.543
6100,0.5418000000000001
6200,0.5401
6300,0.54
6400,0.5389999999999999
6500,0.5381
6600,0.5373000000000001
6700,0.5366
6800,0.5359
6900,0.5348
7000,0.5336000000000001
7100,0.5325000000000001
7200,0.5317000000000001
7300,0.5304
7400,0.5298
7500,0.5282
7600,0.5274000000000001
7700,0.5261
7800,0.5251
7900,0.5238
8000,0.5226999999999999
8100,0.5217
8200,0.5206
8300,0.5189999999999999
8400,0.5185000000000001
8500,0.5175
8600,0.5164000000000001
8700,0.5146999999999999
8800,0.5144
8900,0.5125
9000,0.5118
9100,0.5098
9200,0.5092
9300,0.5076
9400,0.5062
9500,0.5048
9600,0.5036999999999999
9700,0.5022
9800,0.5010999999999999
9900,0.5000000000000001
10000,0.49849999999999994
10100,0.49660000000000004
10200,0.49589999999999995
10300,0.49400000000000005
10400,0.49329999999999996
10500,0.4915
10600,0.49029999999999996
10700,0.48869999999999997
10800,0.48789999999999994
10900,0.4859
11000,0.48460000000000003
11100,0.48360000000000003
11200,0.4826
11300,0.48019999999999996
11400,0.47929999999999995
11500,0.4777
11600,0.47630000000000006
11700,0.47429999999999994
11800,0.4737
11900,0.4720999999999999
12000,0.47009999999999996
12100,0.46880000000000005
12200,0.46810000000000007
12300,0.46679999999999994
12400,0.4652
12500,0.46399999999999997
12600,0.4625
12700,0.46060000000000006
12800,0.45920000000000005
12900,0.45779999999999993
13000,0.4558000000000001
13100,0.45500000000000007
13200,0.4537999999999999
13300,0.45230000000000004
13400,0.4508
13500,0.44910000000000005
13600,0.4484
13700,0.4465
13800,0.4454999999999999
13900,0.44420000000000004
14000,0.44270000000000004
14100,0.44089999999999996
14200,0.4399
14300,0.43759999999999993
14400,0.43810000000000004
14500,0.43629999999999997
14600,0.43529999999999996
14700,0.4327
14800,0.43249999999999994
14900,0.4304
15000,0.4293
15100,0.4274
15200,0.4284
15300,0.4253
15400,0.426
15500,0.42329999999999995
15600,0.4232
15700,0.42210000000000003
15800,0.42029999999999995
15900,0.41819999999999996

