F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.812, A = 2.299
deltaX = 100 steps.
Starting position: tip of probe is 1.8 inches below resting surface of magnetic coil.
0,2.1975000000000002,0.00015811388300840154
100,2.1992,0.00018973665961013802
200,2.2007000000000003,0.00014491376746187843
300,2.202,0.00014142135623729392
400,2.2036000000000002,0.00015491933384834838
500,2.2042,0.00012649110640672122
600,2.2065,0.00015811388300840154
700,2.2069,9.486832980504093e-05
800,2.2081,9.486832980504093e-05
900,2.2097,0.00014491376746187843
1000,2.2108,0.00012649110640672122
1100,2.2117999999999998,0.00018973665961013802
1200,2.213,0.0
1300,2.2138999999999998,0.00017029386365924527
1400,2.2152000000000003,0.0001264911064067774
1500,2.2157000000000004,0.00014491376746194278
1600,2.2171,9.486832980504093e-05
1700,2.2181,9.486832980504093e-05
1800,2.2192,0.00018973665961013802
1900,2.2198,0.00012649110640677738
2000,2.221,0.0
2100,2.2217000000000002,0.00014491376746187843
2200,2.2226,0.00015491933384827959
2300,2.2232,0.00012649110640677738
2400,2.2245000000000004,0.00015811388300840154
2500,2.2253999999999996,0.0001549193338482796
2600,2.2262999999999997,0.0001449137674618784
2700,2.2268,0.00018973665961010994
2800,2.2278000000000007,0.00012649110640677738
2900,2.2281000000000004,9.486832980504093e-05
3000,2.2292,0.00012649110640672122
3100,2.2298999999999998,9.486832980504093e-05
3200,2.2308,0.00018973665961010994
3300,2.232,0.0
3400,2.2321,0.00017029386365927392
3500,2.2328,0.00012649110640672122
3600,2.2338,0.00012649110640672122
3700,2.2337000000000002,0.00014491376746187843
3800,2.2348,0.00012649110640672122
3900,2.2356000000000003,0.00015491933384834838
4000,2.2356000000000003,0.00015491933384834838
4100,2.236300000000001,0.0001449137674618784
4200,2.2368,0.00012649110640672122
4300,2.2370000000000005,1.4043333874306804e-16
4400,2.2373,0.0001449137674618784
4500,2.2381,0.00017029386365924527
4600,2.2389,9.486832980504093e-05
4700,2.2384,0.0001549193338482796
