0.003,0.0,0.2555555555555556
0.199,0.051,0.2888888888888889
0.399,0.104,0.2222222222222222
0.598,0.157,0.15555555555555556
0.799,0.21,0.23333333333333334
0.999,0.263,0.325
1.199,0.316,0.27777777777777785
1.399,0.37,0.21250000000000002
1.599,0.423,0.24444444444444446
1.799,0.476,0.2625
1.999,0.529,0.3222222222222222
2.199,0.582,0.4125
2.399,0.635,0.4000000000000001
2.599,0.688,0.23750000000000002
2.799,0.741,0.6555555555555554
2.999,0.794,0.7555555555555556
3.199,0.847,0.875
3.399,0.9,0.7666666666666667
3.599,0.953,0.5125000000000001
3.798,1.006,0.7777777777777778
3.999,1.059,0.8750000000000001
4.199,1.112,0.7888888888888889
4.399,1.165,0.8500000000000001
4.599,1.218,0.8777777777777778
4.799,1.271,0.9000000000000001
4.998,1.324,0.9249999999999999
5.198,1.376,1.1333333333333335
5.398,1.429,1.2000000000000002
5.599,1.482,1.2000000000000002
5.798,1.534,1.15
5.998,1.587,1.2111111111111112
6.198,1.639,1.3875000000000002
6.398,1.692,1.3777777777777778
6.598,1.744,1.4666666666666668
6.799,1.797,1.5
6.998,1.849,1.588888888888889
7.198,1.901,1.9875000000000005
7.398,1.953,1.966666666666667
7.576,1.999,1.975
7.579,1.999,2.0

