small2,0.28742648869885623,0.011846783899760686
small2,0.2831545097215577,0.018233231066031308
small2,0.26075666140603876,0.011029237452458356
small2,0.21476015751961955,0.016072513286042336
small2,0.30707357848679095,0.014363963196085034
small2,0.3167351180593912,0.01707931558962764
small2,0.2748223900548915,0.013710801857970455
small1,0.5780079096635126,0.17472593041910367  
small1,0.47518424289432193,0.19376435706204623
small1,0.5532039107254035,0.1299113930877282
small1,0.3425170068924576,0.00029851147092379394  9550 series
small1,0.34237983147586043,0.0003208626165786997
small1,0.34056518369233413,0.00026847050460407563
small1,0.3425170068924576,0.00029851147092379394
small1,0.34237983147586043,0.0003208626165786997
small1,0.34056518369233413,0.00026847050460407563
