F.W.BELL,MODEL 9550,V1.1;

0,2.2517
500,2.2506
1000,2.2500000000000004
1500,2.2478000000000007
2000,2.2446
2500,2.2417000000000007
3000,2.2378
3500,2.2335000000000003
4000,2.228
4500,2.2226
5000,2.2161
5500,2.2098
6000,2.2022999999999997
6500,2.1940999999999997
7000,2.1855
7500,2.1763000000000003
8000,2.1669000000000005
8500,2.1571
9000,16.4309
9500,2.1342
10000,2.1228000000000002
10500,2.1108000000000002
11000,2.0974
11500,2.0846
12000,2.0712
12500,2.0584000000000002
13000,2.0435000000000003
13500,2.0292
14000,2.0153
14500,2.003
15000,1.9865000000000002
15500,1.9728999999999999

