F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 6.003, A = 1.669
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,1.7076999999999998
100,1.7082000000000002
200,1.7078999999999998
300,1.7076
400,1.7068
500,1.7066
600,1.7055
700,1.7050999999999998
800,1.7039000000000002
900,1.7037000000000002
1000,1.7027
1100,1.7027
1200,1.7015
1300,1.701
1400,1.7003
1500,1.6997
1600,1.6986
1700,1.6985000000000003
1800,1.6971
1900,1.69728
2000,1.6960000000000002
2100,1.6954
2200,1.6942
2300,1.6934
2400,1.6928999999999998
2500,1.6925000000000001
2600,1.691
2700,1.6906000000000003
2800,1.6896999999999998
2900,1.6885999999999999
3000,1.6883
3100,1.6867999999999999
3200,1.6861000000000002
3300,1.6853000000000002
3400,1.6844000000000001
3500,1.6833000000000002
3600,1.682
3700,1.6810000000000003
3800,1.6797
3900,1.6790000000000003
4000,1.6780000000000002
4100,1.6772000000000002
4200,1.6757000000000002
4300,1.6749000000000003
4400,1.6733
4500,1.673
4600,1.6715
4700,1.6702
4800,1.6694
4900,1.6680999999999997
5000,1.6666999999999998
5100,1.6652999999999998
5200,1.6642
5300,1.6637
5400,1.6616
5500,1.6598
5600,1.6587
5700,1.6570999999999998
5800,1.6558
5900,1.6542999999999999
6000,1.6532
6100,1.652
6200,1.6502
6300,1.6489
6400,1.6474999999999997
6500,1.6464000000000003
6600,1.6447999999999996
6700,1.6431999999999998
6800,1.6414000000000002
6900,1.6404999999999998
7000,1.6384
7100,1.6374000000000002
7200,1.6352
7300,1.6343
7400,1.6326
7500,1.6308
7600,1.6294
7700,1.6271999999999998
7800,1.6256999999999997
7900,1.6238
8000,1.6220000000000003
8100,1.6206
8200,1.6183
8300,1.6169
8400,1.6146999999999998
8500,1.6136000000000004
8600,1.6113
8700,1.6098
8800,1.6073
8900,1.6061
9000,1.6037000000000003
9100,1.6031000000000002
9200,1.5994
9300,1.5988000000000002
9400,1.5962
9500,1.5945
9600,1.5926
9700,1.5909
9800,1.5881
9900,1.5863
10000,1.5843
10100,1.5827
10200,1.5803
10300,1.5782
10400,1.5762
10500,1.5743
10600,1.5716999999999999
10700,1.5711
10800,1.5669
10900,1.5669
11000,1.5631999999999997
11100,1.5613000000000001
11200,1.5585999999999998
11300,1.557
11400,1.5539
11500,1.5525000000000002
11600,1.5489
11700,1.5486999999999997
11800,1.5447000000000002
11900,1.5431
12000,1.5407
12100,1.5391
12200,1.5358
12300,1.5335
12400,1.5312999999999999
12500,1.5302
12600,1.5262
12700,1.5246
12800,1.5222
12900,1.5204
13000,1.5166999999999997
13100,1.5149
13200,1.5121999999999998
13300,1.5109999999999997
13400,1.5077
13500,1.5058
13600,1.5028
13700,1.5013
13800,1.4979
13900,1.496
14000,1.4932000000000003
14100,1.4922000000000002
14200,1.4881
14300,1.4869
14400,1.4841000000000002
14500,1.4825000000000002
14600,1.4780000000000002
14700,1.4781
14800,1.4752
14900,1.4737
15000,1.4698
15100,1.4687999999999999
15200,1.4654
15300,1.4643000000000002
15400,1.4595000000000002
15500,1.4601000000000002
15600,1.4564
15700,1.4558
15800,1.4512
15900,1.4514999999999998

