F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.004, A = 2.207
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,2.2545
100,2.255
200,2.2537000000000003
300,2.2529
400,2.2525000000000004
500,2.2517
600,2.2501
700,2.2500000000000004
800,2.2487000000000004
900,2.2482999999999995
1000,2.2477000000000005
1100,2.2468
1200,2.2458
1300,2.2444
1400,2.2441000000000004
1500,2.2431
1600,2.2424999999999997
1700,2.2413000000000003
1800,2.2405
1900,2.2391
2000,2.238
2100,2.2371000000000003
2200,2.2358000000000002
2300,2.235
2400,2.2342
2500,2.2334000000000005
2600,2.2323999999999997
2700,2.2306
2800,2.2294
2900,2.2285999999999997
3000,2.2276000000000002
3100,2.2266
3200,2.2254
3300,2.2235000000000005
3400,2.223
3500,2.2210000000000005
3600,2.2199
3700,2.2189
3900,2.2162999999999995
4000,2.2144
4100,2.2140999999999997
4200,2.2119999999999997
4300,2.2108
4400,2.2088
4500,2.2078
4600,2.2066000000000003
4700,2.2056999999999998
4800,2.204
4900,2.2024
5000,2.2009
5100,2.1992
5200,2.1976
5300,2.1962
5400,2.1940999999999997
5500,2.1929000000000003
5600,2.1909
5700,2.1900000000000004
5800,2.1879999999999997
5900,2.1861999999999995
6000,2.1842
6100,2.1830000000000003
6200,2.1815
6300,2.1794
6400,2.1771000000000003
6500,2.1759999999999997
6600,2.1744999999999997
6700,2.1721000000000004
6800,2.1700999999999997
6900,2.1684
7000,2.1662000000000003
7100,2.1641000000000004
7200,2.1622999999999997
7300,2.1605
7400,2.158
7500,2.1565000000000003
7600,2.1541
7700,2.1528
7800,2.1504000000000003
7900,2.1482
8000,2.1467
8100,2.1437
8200,2.1413
8300,2.1391999999999998
8400,2.1376
8500,2.1351
8600,2.1326
8700,2.13
8800,2.1277999999999997
8900,2.1260000000000003
9000,2.1234
9100,2.1212999999999997
9200,2.1182999999999996
9300,2.1168
9400,2.1134
9500,2.1114000000000006
9600,2.1088
9700,2.1067
9800,2.1036
9900,2.1019
10000,2.0987999999999998
10100,2.0967000000000002
10200,2.0937
10300,2.0919999999999996
10400,2.0888999999999998
10500,2.0866999999999996
10600,2.0834
10700,2.0812999999999997
10800,2.0789999999999997
10900,2.0763
11000,2.0732
11100,2.0715000000000003
11200,2.068
11300,2.066
11400,2.0623
11500,2.0603
11600,2.0577
11700,2.0555000000000003
11800,2.0519
11900,2.0498000000000003
12000,2.0462999999999996
12100,2.0452
12200,2.0411
12300,2.0389999999999997
12400,2.0355
12500,2.0333
12600,2.0295
12700,2.0269000000000004
12800,2.0245
12900,2.0216000000000003
13000,2.018
13100,2.0155000000000003
13200,2.0130000000000003
13300,2.0105999999999997
13400,2.0069000000000004
13500,2.0046999999999997
13600,2.0008
13700,1.9995999999999998
13800,1.9948000000000001
13900,1.9927999999999997
14000,1.9896
14100,1.9869999999999997
14200,1.9833000000000003
14300,1.9811000000000003
14400,1.9774
14500,1.9761
14600,1.9713
14700,1.9698
14800,1.966
14900,1.964
15000,1.9591999999999998
15100,1.9580999999999995
15200,1.9548
15300,1.953
15400,1.9485
15500,1.946777777777778
15600,1.9432000000000003
15700,1.9419
15800,1.9362000000000001
15900,1.9361000000000002

