F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 2.004, A = 0.554
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,0.5685
100,0.5678
200,0.5677
300,0.5675999999999999
400,0.5673999999999999
500,0.5667
600,0.5667
700,0.5664
800,0.5656
900,0.5650999999999999
1000,0.5651999999999998
1100,0.565
1200,0.5641999999999999
1300,0.5641
1400,0.5630999999999998
1500,0.5631
1600,0.5630999999999999
1700,0.5618000000000001
1800,0.5618000000000001
1900,0.5609
2000,0.5606000000000001
2100,0.5601
2200,0.5594
2300,0.5591
2400,0.5589000000000001
2500,0.5576000000000001
2600,0.5575
2700,0.5574
2800,0.5561
2900,0.5558
3000,0.5549
3100,0.5546
3200,0.5538000000000001
3300,0.5529000000000001
3400,0.5523
3500,0.5522
3600,0.5508000000000001
3700,0.5508
3800,0.5501
3900,0.5494
4000,0.5485
4100,0.5478000000000001
4200,0.5472
4300,0.5467000000000001
4400,0.5455
4500,0.5445
4600,0.5442
4700,0.5433
4800,0.5425000000000001
4900,0.5419
5000,0.541
5100,0.5407
5200,0.5399
5300,0.539
5400,0.5381
5500,0.537
5600,0.5362
5700,0.5349
5800,0.5348
5900,0.5333000000000001
6000,0.5317999999999999
6100,0.5317
6200,0.5306
6300,0.53
6400,0.5286000000000001
6500,0.5281
6600,0.5275000000000001
6700,0.5267000000000001
6800,0.5248000000000002
6900,0.5248999999999999
7000,0.5236000000000001
7100,0.5226000000000001
7200,0.5213
7300,0.5211
7400,0.5201
7500,0.5191000000000001
7600,0.5172000000000001
7700,0.5172000000000001
7800,0.51596
7900,0.5149999999999999
8000,0.5133000000000001
8100,0.5124000000000001
8200,0.5113000000000001
8300,0.5102
8400,0.5086000000000002
8500,0.5082000000000001
8600,0.5066999999999999
8700,0.5058
8800,0.5039
8900,0.5034000000000001
9000,0.5021
9100,0.5012000000000001
9200,0.49929999999999997
9300,0.49829999999999997
9400,0.4971
9500,0.4962
9600,0.49539999999999995
9700,0.49350000000000005
9800,0.4928
9900,0.4911
10000,0.4896
10100,0.48869999999999997
10200,0.4872222222222222
10300,0.48600000000000004
10400,0.48480000000000006
10500,0.48360000000000003
10600,0.4816999999999999
10700,0.4814
10800,0.4789
10900,0.47919999999999996
11000,0.47709999999999997
11100,0.4760999999999999
11200,0.4746999999999999
11300,0.4737
11400,0.4720999999999999
11500,0.47109999999999996
11600,0.46959999999999996
11700,0.46840000000000004
11800,0.4668
11900,0.46530000000000005
12000,0.4636
12100,0.4631
12200,0.4617
12300,0.46030000000000004
12400,0.45809999999999995
12500,0.45810000000000006
12600,0.4569
12700,0.4551
12800,0.4532000000000001
12900,0.45220000000000005
13000,0.44959999999999994
13100,0.45010000000000006
13200,0.4481
13300,0.4482000000000001
13400,0.446
13500,0.4448
13600,0.44279999999999997
13700,0.44239999999999996
13800,0.44089999999999996
13900,0.4391999999999999
14000,0.4373
14100,0.4377
14200,0.4361
14300,0.43479999999999996
14400,0.4332
14500,0.4323
14600,0.43100000000000005
14700,0.43019999999999997
14800,0.42889999999999995
14900,0.4284
15000,0.42669999999999997
15100,0.4257000000000001
15200,0.4237
15300,0.42350000000000004
15400,0.4224
15500,0.42140000000000005
15600,0.42000000000000004
15700,0.4201
15800,0.4183
15900,0.4176

