F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 4.003, A = 1.11
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
100,1.1469
200,1.1464
300,1.1458
400,1.1459
500,1.1453
600,1.1447999999999998
700,1.1446
800,1.1441999999999999
900,1.1439
1000,1.1436
1100,1.143
1200,1.1425
1300,1.1427
1400,1.1421999999999999
1500,1.1412
1600,1.1409
1700,1.1409
1800,1.1401
1900,1.1395000000000002
2000,1.1386999999999998
2100,1.1383999999999999
2200,1.1378
2300,1.1376
2400,1.1366999999999998
2500,1.136
2600,1.1358
2700,1.1351
2800,1.1341999999999999
2900,1.1334
3000,1.1323999999999999
3100,1.1325999999999996
3200,1.1320000000000001
3300,1.131
3400,1.1301400000000001
3500,1.1300999999999999
3600,1.1286999999999998
3700,1.1280999999999999
3800,1.1268
3900,1.1264999999999996
4000,1.1256
4100,1.1249
4200,1.1234
4300,1.1229
4400,1.1215000000000002
4500,1.121
4600,1.1203000000000003
4700,1.1186000000000003
4800,1.118
4900,1.1169
5000,1.1161
5100,1.1148000000000002
5200,1.1138000000000001
5300,1.1132
5400,1.1111
5500,1.1109
5600,1.1093
5700,1.1087
5800,1.1077
5900,1.1065999999999998
6000,1.1047
6100,1.1041999999999998
6200,1.1032
6300,1.1019
6400,1.1009999999999998
6500,1.0996000000000001
6600,1.0986
6700,1.0975
6800,1.096
6900,1.0951
7000,1.0927
7100,1.0917999999999999
7200,1.0898999999999999
7300,1.0896000000000001
7400,1.0879
7500,1.0862000000000003
7600,1.0848000000000002
7700,1.0840999999999998
7800,1.0825
7900,1.0809
8000,1.0793000000000001
8100,1.0783999999999998
8200,1.0768
8300,1.0753
8400,1.0737999999999999
8500,1.0721999999999998
8600,1.0707
8700,1.0689
8800,1.0674
8900,1.066
9000,1.0646
9100,1.0622
9200,1.0613000000000001
9300,1.0604
9400,1.0585
9500,1.0567
9600,1.0550000000000002
9700,1.0541
9800,1.0516999999999999
9900,1.0499999999999998
10000,1.0481
10100,1.0466000000000002
10200,1.0445
10300,1.0423
10400,1.0411000000000001
10500,1.0394
10600,1.0371
10700,1.0362
10800,1.0343
10900,1.0326666666666666
11000,1.0302
11100,1.0286
11200,1.0259
11300,1.0254
11400,1.0235
11500,1.0216
11600,1.0200999999999998
11700,1.0190000000000001
11800,1.0158999999999998
11900,1.0142999999999998
12000,1.0118
12100,1.0110999999999997
12200,1.0077
12300,1.0068000000000001
12400,1.0046999999999997
12500,1.0031
12600,1.0004
12700,0.9991
12800,0.9965999999999999
12900,0.9956999999999999
13000,0.9926
13100,0.9919
13200,0.9891000000000002
13300,0.9884999999999999
13400,0.9854999999999998
13500,0.9847999999999999
13600,0.9822
13700,0.9813000000000001
13800,0.9778
13900,0.9766
14000,0.9745000000000001
14100,0.9737000000000002
14200,0.9708
14300,0.9692000000000001
14400,0.9663999999999999
14500,0.9665999999999999
14600,0.9620999999999998
14700,0.9614
14800,0.959
14900,0.9586
15000,0.9551999999999999
15100,0.9544
15200,0.952
15300,0.9511
15400,0.9479
15500,0.9476000000000001
15600,0.9446
15700,0.9451
15800,0.9415000000000001
15900,0.9410000000000001

