F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.278, A = 2.299
deltaX = 100 steps.
Starting position: tip of probe is 3 cm below resting surface of magnetic coil.
0,2.2679,9.486832980504093e-05
100,2.2692,0.00012649110640672122
200,2.2704,0.0001549193338482796
300,2.2715999999999994,0.0001549193338482796
400,2.2735000000000003,0.00015811388300840154
500,2.2752,0.00012649110640672122
600,2.2762000000000002,0.00018973665961013802
700,2.2771,9.486832980504093e-05
800,2.2783,0.00020248456731314355
900,2.2799,9.486832980504093e-05
1000,2.2809,0.00017029386365929219
1100,2.2819000000000003,9.486832980504093e-05
1200,2.2830000000000004,1.4043333874306804e-16
1300,2.2849,9.486832980508306e-05
1400,2.2861000000000002,9.486832980504093e-05
1500,2.2869,0.00017029386365924527
1600,2.288,0.0
1700,2.2892,0.00018973665961010994
1800,2.2903,0.0001449137674618784
1900,2.2912,0.00012649110640672122
2000,2.2923,0.00020248456731320497
2100,2.2929,9.486832980508306e-05
2200,2.2947,0.00014491376746187843
2300,2.2952999999999997,0.0001449137674618784
2400,2.2959,0.00022135943621180628
2500,2.2975000000000003,0.0002121320343559723
2600,2.2983,0.0001449137674618784
2700,2.2992,0.0001897366596100818
2800,2.2998000000000003,0.00012649110640672122
2900,2.3009,9.486832980508306e-05
3000,2.3014,0.0001549193338482796
3100,2.3019000000000003,0.00022135943621176215
3200,2.3024,0.0001549193338482796
3300,2.3033999999999994,0.0001549193338482796
3400,2.3039999999999994,1.4043333874306804e-16
3500,2.3054,0.0001549193338482796
3600,2.3061999999999996,0.0001897366596100818
3700,2.3061999999999996,0.00012649110640672122
3800,2.3068,0.0001897366596100818
3900,2.3078,0.00012649110640672122
4000,2.3083,0.00014491376746194278
4100,2.3084000000000002,0.00015491933384834838
4200,2.309,0.00014142135623732534
4300,2.3091,0.00017029386365927392
4400,2.3101,9.486832980504093e-05
4500,2.3106,0.00015491933384827959
4600,2.3105,0.00021213203435594086
4700,2.311,0.0
4800,2.3117,0.00014491376746187843
4900,2.3119,9.486832980504093e-05
5000,2.3122,0.00012649110640677738
5100,2.3128,0.00012649110640677738
5200,2.3125999999999998,0.00015491933384834838
5300,2.3133000000000004,0.0001449137674618784
5400,2.3136,0.00015491933384827959
5500,2.3137,0.00014491376746187843
5600,2.3131,9.486832980504093e-05
5700,2.3141000000000003,9.486832980504093e-05
5800,2.3137,0.00014491376746187843
5900,2.3141000000000003,9.486832980504093e-05
6000,2.3138,0.0001897366596100818
6100,2.3142000000000005,0.00012649110640672122
6200,2.3144,0.0001549193338482796
6300,2.3143000000000002,0.0001449137674618784
6400,2.3142000000000005,0.00012649110640672122
6500,2.3145000000000002,0.00015811388300840154
6600,2.3134,0.0001549193338482796
6700,2.3142000000000005,0.00023664319132395858
6800,2.3138,0.0001897366596100818
6900,2.3143000000000002,0.0001449137674618784
7000,2.3132,0.00012649110640672122
7100,2.3136,0.00015491933384827959
7200,2.3133000000000004,0.00020248456731317206
7300,2.3134,0.0001549193338482796
7400,2.3125999999999998,0.00015491933384834838
7500,2.3121,9.486832980508306e-05
7600,2.3120000000000003,1.4043333874306804e-16
7700,2.3116,0.00015491933384827959
7800,2.3112000000000004,0.00023664319132395858
7900,2.3109,9.486832980504093e-05
8000,2.3104,0.0001549193338482796
8100,2.3103000000000002,0.0001449137674618784
8200,2.3093999999999997,0.0001549193338482796
8300,2.309,0.0
8400,2.3084000000000002,0.00015491933384834838
8500,2.3086,0.00015491933384834838
8600,2.3069999999999995,1.4043333874306804e-16
8700,2.3065999999999995,0.0001549193338482796
8800,2.306,0.0
8900,2.306,0.0
9000,2.3048,0.00012649110640677738
9100,2.3039999999999994,1.4043333874306804e-16
9200,2.3034999999999997,0.00015811388300840154
9300,2.3032999999999992,0.0001449137674618784
9400,2.302,0.0
9500,2.3017,0.00014491376746187843
9600,2.3002000000000002,0.0001264911064067774
9700,2.3002000000000002,0.0001264911064067774
9800,2.2985999999999995,0.0001549193338482796
9900,2.2984,0.0001549193338482796
10000,2.2972,0.00012649110640672122
10100,2.2963999999999998,0.00015491933384834838
10200,2.2952,0.00012649110640672122
10300,2.2939,9.486832980504093e-05
10400,2.2935000000000003,0.00015811388300840154
10500,2.2923,0.00014491376746194278
10600,2.2908999999999997,0.00017029386365924527
10700,2.29,0.00014142135623729392
10800,2.2888000000000006,0.00012649110640677738
10900,2.2881,9.486832980508306e-05
11000,2.2866999999999997,0.00014491376746187843
11100,2.2856,0.00015491933384827959
11200,2.2844,0.00015491933384834838
11300,2.2832999999999997,0.0001449137674618784
11400,2.2813000000000003,0.0001449137674618784
11500,2.2805,0.00015811388300847177
11600,2.2796,0.00015491933384827959
11700,2.278,0.0005656854249492149
11800,2.2767000000000004,0.00014491376746194278
11900,2.2754,0.0001549193338482796
12000,2.274,0.00019999999999997795
12100,2.2735000000000003,0.00015811388300840154
12200,2.2706000000000004,0.0001549193338482796
12300,2.2699000000000003,0.00017029386365924527
12400,2.2686,0.00015491933384834838
12500,2.2675,0.00015811388300840154
12600,2.2652,0.00012649110640672122
12700,2.2645000000000004,0.00015811388300847177
12800,2.2626999999999997,0.00014491376746187843
12900,2.2625,0.00015811388300840154
13000,2.2596999999999996,0.00014491376746187843
13100,2.2582999999999998,0.0001449137674618784
13200,2.2567999999999997,0.00018973665961013802
13300,2.256,0.0
13400,2.2535000000000003,0.00015811388300840154
13500,2.252,0.0
13600,2.2508,0.0001897366596100818
13700,2.2498,0.00012649110640672122
13800,2.247,0.0
13900,2.2458,0.00012649110640672122
14000,2.2445000000000004,0.00015811388300840154
14100,2.2434,0.00015491933384834838
14200,2.2404,0.0001549193338482796
14300,2.2392000000000003,0.0001264911064067774
14400,2.2379,9.486832980504093e-05
14500,2.2370000000000005,1.4043333874306804e-16
14600,2.2338,0.00012649110640672122
14700,2.2329,0.00017029386365924527
14800,2.2308,0.00012649110640672122
14900,2.2300000000000004,0.00019999999999997795
15000,2.2275000000000005,0.00015811388300847177
15100,2.2262,0.00012649110640672122
15200,2.2247000000000003,0.00014491376746187843
15300,2.2238,0.00018973665961013802
15400,2.2209000000000003,0.00017029386365924527
15500,2.2196,0.00015491933384834838
15600,2.2181000000000006,0.00017029386365924527
15700,2.2171,9.486832980504093e-05
15800,2.214,0.00019999999999997795
15900,2.2129000000000003,9.486832980504093e-05

