F.W.BELL,MODEL 9550,V1.1;
, average for 10 data points
V = 8.004, A = 2.21
deltaX = 100 steps.
Starting position: tip of probe is touching table surface.
0,2.2588
100,2.2586
200,2.2579000000000002
300,2.257
400,2.2558999999999996
500,2.2555
600,2.2539000000000002
700,2.2529
800,2.2528999999999995
900,2.2512
1000,2.2504
1100,2.2493000000000003
1200,2.2484
1300,2.2474
1400,2.2465
1500,2.2451
1600,2.2447
1700,2.2439999999999998
1800,2.242
1900,2.2415
2000,2.2410000000000005
2100,2.2402000000000006
2200,2.2385
2300,2.237
2400,2.2361999999999997
2500,2.2350000000000003
2600,2.2331000000000003
2700,2.2333
2800,2.2319
2900,2.231
3000,2.2296
3100,2.2281000000000004
3200,2.2276
3300,2.2259
3400,2.2241000000000004
3500,2.2230999999999996
3600,2.2222999999999997
3700,2.2213000000000003
3800,2.2193999999999994
3900,2.2182
4000,2.2167000000000003
4100,2.2152000000000003
4200,2.2144
4300,2.2122
4400,2.2108999999999996
4500,2.2098000000000004
4600,2.2077999999999998
4700,2.2064
4800,2.2054
4900,2.2041000000000004
5000,2.2018
5100,2.20094
5200,2.1992
5300,2.1976
5400,2.1953
5500,2.1936999999999998
5600,2.1918999999999995
5700,2.1902
5800,2.1889999999999996
5900,2.1872999999999996
6000,2.1849000000000003
6100,2.1832000000000003
6200,2.1813
6300,2.1795999999999998
6400,2.1778
6500,2.1761
6600,2.1742
6700,2.1721000000000004
6800,2.1701
6900,2.1684
7000,2.1669000000000005
7100,2.1651
7200,2.1628
7300,2.161
7400,2.1584999999999996
7500,2.1568
7600,2.1543
7700,2.1523
7800,2.1498
7900,2.1482
8000,2.1449
8100,2.1443
8200,2.1416
8300,2.1391
8400,2.1369
8500,2.1351
8600,2.1323
8700,2.1304
8800,2.1284
8900,2.1259
9000,2.1229000000000005
9100,2.1210999999999998
9200,2.1182
9300,2.1162
9400,2.1134444444444447
9500,2.1114000000000006
9600,2.1076
9700,2.1063
9800,2.1038888888888887
9900,2.1009
10000,2.0987
10100,2.0965
10200,2.0936
10300,2.092
10400,2.0881
10500,2.0862999999999996
10600,2.0835
10700,2.0812999999999997
10800,2.0785
10900,2.0757000000000003
11000,2.0729699999999998
11100,2.0704000000000002
11200,2.0678
11300,2.0655
11400,2.0621
11500,2.0599
11600,2.0574
11700,2.0547
11800,2.0511000000000004
11900,2.0488999999999997
12000,2.0454999999999997
12100,2.0436
12200,2.0401
12300,2.0376
12400,2.0349
12500,2.0321
12600,2.0288
12700,2.0266
12800,2.0233
12900,2.0215
13000,2.0177
13100,2.0141999999999998
13200,2.0113999999999996
13300,2.0101
13400,2.0056
13500,2.0036
13600,2.0004999999999997
13700,1.9987000000000001
13800,1.9937999999999998
13900,1.9912000000000003
14000,1.9883
14100,1.9863333333333333
14200,1.9825
14300,1.9796
14400,1.9766
14500,1.9750000000000003
14600,1.9703
14700,1.9685000000000001
14800,1.9653000000000003
14900,1.9636999999999998
15000,1.9591999999999998
15100,1.9566
15200,1.9541
15300,1.9523
15400,1.9477
15500,1.9448
15600,1.9430000000000003
15700,1.9407
15800,1.937
15900,1.9349999999999998

